pair_id	priority	expected_direction	method	state	minimum_cells	n_patients	n_positive	n_negative	n_zero	median_rho	minimum_rho	maximum_rho	patient_equal_meta_rho	bootstrap_ci_low	bootstrap_ci_high	exact_sign_flip_p	sign_flip_fdr_within_state_method_threshold
e2f_g2m	technical_positive_control	positive	matched_residual	iREC	30	4	4	0	0	0.5222766971082092	0.3668634162936367	0.6724333308151393	0.531113581566184	0.414201118792559	0.630784654110504	0.125	0.20833333333333334
hrc_e2f	biological_discriminator	negative_or_weak	matched_residual	iREC	30	4	0	4	0	-0.24279758287951764	-0.43715239154616237	-0.06890756302521009	-0.2563030467344363	-0.4224487387671423	-0.0734932536204197	0.125	0.20833333333333334
hrc_tight_junction	primary	positive	matched_residual	iREC	30	4	4	0	0	0.4349169478692478	0.29966806909236976	0.5351413965903654	0.43075995180627613	0.33733380101475885	0.5157835536992561	0.125	0.20833333333333334
pemt_tight_junction	key_secondary	positive	matched_residual	iREC	30	4	3	1	0	0.34495399238103336	-0.11484593837535015	0.5195789579713429	0.286865673559787	0.011870598068441316	0.4726524669174094	0.25	0.25
actin_tight_junction	secondary	positive_or_context_dependent	matched_unadjusted	Hypoxia	30	13	13	0	0	0.23155325686971256	0.07865053322395407	0.4857142857142857	0.24116705841630084	0.18449264809788227	0.3016191922740646	0.000244140625	0.00030517578125
e2f_g2m	technical_positive_control	positive	matched_unadjusted	Hypoxia	30	13	13	0	0	0.38389657010346667	0.14763682919022728	0.656568111735897	0.41703983507501335	0.33656547379680907	0.49429985388312525	0.000244140625	0.00030517578125
hrc_e2f	biological_discriminator	negative_or_weak	matched_unadjusted	Hypoxia	30	13	1	12	0	-0.1466386554621849	-0.4392454199165609	0.05046409900778834	-0.18238220001063774	-0.2595440761098124	-0.10599248964685251	0.000732421875	0.000732421875
hrc_tight_junction	primary	positive	matched_unadjusted	Hypoxia	30	13	13	0	0	0.33233157669847607	0.07981135497914021	0.4771138110587652	0.3235016062851373	0.2628317651299627	0.3797084917674631	0.000244140625	0.00030517578125
pemt_tight_junction	key_secondary	positive	matched_unadjusted	Hypoxia	30	13	13	0	0	0.24381437687590393	0.1871469588655807	0.5107454410206704	0.2978255790977867	0.24962851650915968	0.3531690986864159	0.000244140625	0.00030517578125
actin_tight_junction	secondary	positive_or_context_dependent	matched_unadjusted	REC	30	9	9	0	0	0.27201045892730863	0.1019397721106891	0.4715728715728717	0.2830180183018985	0.21956241612951236	0.34960649130554944	0.00390625	0.0048828125
e2f_g2m	technical_positive_control	positive	matched_unadjusted	REC	30	9	9	0	0	0.24015460752086115	0.09025974025974028	0.5756097560975609	0.2662297207757874	0.18193625599433638	0.36725359900892246	0.00390625	0.0048828125
hrc_e2f	biological_discriminator	negative_or_weak	matched_unadjusted	REC	30	9	1	8	0	-0.02369777536625068	-0.40801393728223007	0.15245310245310248	-0.11304995396854349	-0.22455886891446666	-0.003750116967284543	0.06640625	0.06640625
hrc_tight_junction	primary	positive	matched_unadjusted	REC	30	9	9	0	0	0.45243902439024397	0.13574660633484162	0.5057921866521975	0.4015916337947433	0.32352395540946327	0.4616468454702743	0.00390625	0.0048828125
