gene	retained
ARID3A	TRUE
ARID3B	TRUE
ARID3C	TRUE
ARID4A	TRUE
ARID4B	TRUE
ARID5A	TRUE
ARID5B	TRUE
ARIH1	TRUE
ARIH2	TRUE
ARIH2OS	TRUE
ARL1	TRUE
ARL10	TRUE
ARL11	TRUE
ARL13A	FALSE
ARL13B	TRUE
ARL14	TRUE
ARL14EP	TRUE
ARL14EPL	FALSE
ARL15	TRUE
ARL16	TRUE
ARL2	TRUE
ARL2BP	TRUE
ARL3	TRUE
ARL4A	TRUE
ARL4C	TRUE
ARL4D	TRUE
ARL5B	TRUE
ARL5C	FALSE
ARL6	TRUE
ARL6IP4	TRUE
ARL6IP5	TRUE
ARL6IP6	TRUE
ARL8A	TRUE
ARL9	TRUE
ARMC1	TRUE
ARMC10	TRUE
ARMC12	TRUE
ARMC2	TRUE
ARMC3	FALSE
ARMC4	FALSE
ARMC5	TRUE
ARMC6	TRUE
ARMC7	TRUE
ARMC8	TRUE
ARMC9	TRUE
ARMCX1	TRUE
ARMCX2	TRUE
ARMCX3	TRUE
ARMCX4	TRUE
ARMCX5	TRUE
ARMCX6	TRUE
ARMH1	TRUE
ARMH2	TRUE
ARMH3	TRUE
ARMH4	TRUE
ARMS2	FALSE
ARMT1	TRUE
ARNT	TRUE
ARNT2	TRUE
ARNTL	TRUE
ARNTL2	TRUE
ARPC1A	TRUE
ARPC1B	TRUE
ARPC2	TRUE
ARPC3	TRUE
ARPC4	TRUE
ARPC5	TRUE
ARPC5L	TRUE
ARPIN	TRUE
ARPP19	TRUE
ARPP21	FALSE
ARR3	FALSE
ARRB1	TRUE
ARRB2	TRUE
ARRDC1	TRUE
ARRDC2	TRUE
ARRDC3	TRUE
ARRDC4	TRUE
ARRDC5	TRUE
ARSA	TRUE
ARSB	TRUE
ARSE	TRUE
ARSF	FALSE
ARSG	TRUE
ARSH	FALSE
ARSI	TRUE
ARSJ	TRUE
ARSK	TRUE
ART1	FALSE
ART3	TRUE
ART4	TRUE
ART5	TRUE
ARTN	TRUE
ARV1	TRUE
ARVCF	TRUE
ARX	FALSE
AS3MT	TRUE
ASAH1	TRUE
ASAH2	TRUE
ASAP1	TRUE
ASAP2	TRUE
ASAP3	TRUE
ASB1	TRUE
ASB10	TRUE
ASB11	FALSE
ASB12	TRUE
ASB13	TRUE
ASB14	TRUE
ASB15	FALSE
ASB16	TRUE
ASB17	FALSE
ASB18	FALSE
ASB2	FALSE
ASB3	TRUE
ASB4	TRUE
ASB5	FALSE
ASB6	TRUE
