study	patient	scoring	model	n_cells	n_samples	gene	rho	z
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CLDN9	0.05929776601791935	0.059367414446991826
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	CRB3	0.13771817632315958	0.13859888847190988
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	F11R	0.1468000923728123	0.1478684681133235
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	PALS1	0.029181347342354953	0.029189634712526856
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	PARD3	0.013086635106930682	0.013087382256162758
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	PARD6A	-0.011633352615584482	-0.011633877457713606
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	PARD6B	0.018442492245693394	0.01844458359325888
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	PARD6G	0.0010626834443872317	0.0010626838444155937
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	PATJ	0.0759125952142217	0.07605892255839193
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	fixed_background	common	806	2	PRKCI	0.0011231832971430845	0.0011231837694572634
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN1	0.0998472853079315	0.10018109284463012
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN10	-0.13157989644519513	-0.1323472429113113
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN11	0.05414488642761353	0.05419789131797538
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN12	0.13713483607999805	0.13800431914781314
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN14	-0.055924209055272664	-0.05598262001107068
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN15	0.051689134874696105	0.0517352425798652
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN16	0.04940362047561692	0.04944387286949665
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN17	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN18	-0.05198410842942615	-0.052031010876630035
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN19	-0.06600862195786476	-0.06610474293285153
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN2	-0.0726794289360113	-0.07280780756397195
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN20	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN22	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN23	0.03462022667895872	0.034634068108256484
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN3	0.1377072513997807	0.13858775235438323
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN4	0.04003753573551908	0.040058949782265436
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN5	-0.10788450640714572	-0.10830601222951591
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN6	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN7	0.1976121508322185	0.20024644280865372
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN8	NA	NA
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CLDN9	-0.038374228494249096	-0.03839308154651412
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	CRB3	0.04842160416951882	0.04845950143033949
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	F11R	0.1254216489356347	0.1260855788783497
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	PALS1	0.08824857540516796	0.08847873959523947
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	PARD3	0.06074567821452793	0.06082056202094773
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	PARD6A	0.05859363036710195	0.05866082364948381
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	PARD6B	0.00032864062136649406	0.0003286406331980675
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	PARD6G	0.001975053151713846	0.0019750557198386456
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	PATJ	-0.02712786862558374	-0.027134526223897303
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P2	fixed_background	common	530	2	PRKCI	0.04446542581423313	0.04449476592439178
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	fixed_background	common	550	1	CLDN1	-0.020984290255533878	-0.020987371146743556
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P3	fixed_background	common	550	1	CLDN10	0.012256705310365506	0.012257319127668396
