study	patient	scoring	model	n_cells	n_samples	design_columns	design_rank	residual_df	finite_comparison	covariates
Sathe_2023_Clin_Cancer_Res	Sathe_2023_Clin_Cancer_Res.P6335	target_mean	common	242	1	6	6	236	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0107	target_mean	common	121	1	6	6	115	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0813	target_mean	common	3124	2	7	7	3117	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Wang_2023_CD45Pos.LM0813
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P0920	target_mean	common	9962	2	7	7	9955	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;sample_Wang_2023_CD45Pos.LM0920
Wang_2023_Sci_Adv	Wang_2023_Sci_Adv.P1231	target_mean	common	286	1	6	6	280	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC01	fixed_background	common	342	1	6	6	336	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC01	fixed_background	state_enhanced	342	1	14	14	328	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Hypoxia;state_Intermediate;state_REC;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC02	fixed_background	common	706	1	6	6	700	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC02	fixed_background	state_enhanced	706	1	17	17	689	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC03	fixed_background	common	452	1	6	6	446	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC03	fixed_background	state_enhanced	452	1	17	17	435	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC04	fixed_background	common	2678	1	6	6	2672	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC04	fixed_background	state_enhanced	2678	1	16	16	2662	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC05	fixed_background	common	654	1	6	6	648	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC05	fixed_background	state_enhanced	654	1	16	16	638	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC06	fixed_background	common	997	1	6	6	991	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC06	fixed_background	state_enhanced	997	1	16	16	981	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC07	fixed_background	common	436	1	6	6	430	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC07	fixed_background	state_enhanced	436	1	15	15	421	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_Tuft;state_UPR
Ogden_2025	CRC08	fixed_background	common	3323	1	6	6	3317	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC08	fixed_background	state_enhanced	3323	1	18	18	3305	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Enteroendocrine;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_Tuft;state_UPR;state_iREC
Ogden_2025	CRC09	fixed_background	common	1323	1	6	6	1317	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
Ogden_2025	CRC09	fixed_background	state_enhanced	1323	1	16	16	1307	True	Intercept;log_library;log_genes;RSC;iCMS;E2F;state_Goblet;state_Hypoxia;state_Intermediate;state_REC;state_Stem;state_Stem NOTUM;state_TA1;state_TA2;state_UPR;state_iREC
Ogden_2025	CRC10	fixed_background	common	1500	1	6	6	1494	True	Intercept;log_library;log_genes;RSC;iCMS;E2F
