scoring	model	endpoint	study	weight_percent	study_estimate	study_variance
target_mean	common	CLDN12	Sathe_2023_Clin_Cancer_Res	30.9135398897913	0.0437629790435113	0.000144855457490856
target_mean	common	CLDN12	Wang_2023_Sci_Adv	8.16994059335145	0.00222089815262503	0.000548106184155324
target_mean	common	CLDN14	Giguelay_2022_Theranostics	17.9355361739291	-0.0315047450854367	0.000725279070561939
target_mean	common	CLDN14	Liu_2024_Cancer_Res	73.4160996923441	-0.0177562907850616	0.000131596219154799
target_mean	common	CLDN14	Wang_2023_Sci_Adv	8.64836413372676	-0.0819930221549141	0.00156891384511254
target_mean	common	CLDN15	Che_2021_Cell_Discov	5.12965579908709	0.0390232129131905	0.00373136989465816
target_mean	common	CLDN15	Giguelay_2022_Theranostics	12.2758955408128	-0.03583265695886	0.00118860473865906
target_mean	common	CLDN15	Liu_2024_Cancer_Res	28.4628851069019	-0.0121137717258759	0.000150588705485716
target_mean	common	CLDN15	Sathe_2023_Clin_Cancer_Res	30.5579990554969	0.0380792242192402	9.6616036563351e-05
target_mean	common	CLDN15	Wang_2023_Sci_Adv	23.5735644977013	-0.0101663584650661	0.0003138617230922
target_mean	common	CLDN16	Che_2021_Cell_Discov	2.41540861350508	0.0219247148110023	0.00145826357401039
target_mean	common	CLDN16	Giguelay_2022_Theranostics	11.4593177041447	-0.00654733504606412	0.000300458311186398
target_mean	common	CLDN16	Liu_2024_Cancer_Res	69.8869280579824	0.000802408814563443	4.19395208464981e-05
target_mean	common	CLDN16	Wang_2023_Sci_Adv	16.2383456243678	-0.0212726598494199	0.000209452792610968
target_mean	common	CLDN19	Giguelay_2022_Theranostics	36.132306713716	-0.0201492895992461	0.000382089108551381
target_mean	common	CLDN19	Wang_2023_Sci_Adv	63.867693286284	0.0163233130216484	1.31389228894018e-05
target_mean	common	CLDN2	Che_2021_Cell_Discov	9.17579207846612	-0.131613812364188	0.00369246640323122
target_mean	common	CLDN2	Giguelay_2022_Theranostics	32.1537608131001	-0.0627942378101741	0.000459981523135414
target_mean	common	CLDN2	Liu_2024_Cancer_Res	39.4014760646237	-0.0279155472781437	0.00022253978506183
target_mean	common	CLDN2	Sathe_2023_Clin_Cancer_Res	11.7082412763696	0.0115984077222514	0.00271409055532666
target_mean	common	CLDN2	Wang_2023_Sci_Adv	7.56072976744051	-0.165133978352365	0.00465870017173657
target_mean	common	CLDN23	Che_2021_Cell_Discov	23.2829415735391	0.0706998890160492	0.000707514179617352
target_mean	common	CLDN23	Giguelay_2022_Theranostics	11.4835211511617	0.0580496709543311	0.00143449131060423
target_mean	common	CLDN23	Liu_2024_Cancer_Res	54.0201729071288	0.0382669461771362	0.000304941847091114
target_mean	common	CLDN23	Wang_2023_Sci_Adv	11.2133643681705	0.00443251967616482	0.00146905163924222
target_mean	common	CLDN3	Che_2021_Cell_Discov	26.1191883181907	0.20930088419382	0.000859552356531051
target_mean	common	CLDN3	Giguelay_2022_Theranostics	19.5247249657957	0.192516762335885	0.00193154177345262
target_mean	common	CLDN3	Liu_2024_Cancer_Res	25.1355269347632	0.107588533115809	0.000983761507105698
target_mean	common	CLDN3	Sathe_2023_Clin_Cancer_Res	18.8684144413543	0.0859758675664682	0.00207922959247489
target_mean	common	CLDN3	Wang_2023_Sci_Adv	10.3521453398961	0.0679356269191748	0.0056936548533198
target_mean	common	CLDN4	Che_2021_Cell_Discov	21.1514999163417	0.387379572093266	0.00300641512035422
target_mean	common	CLDN4	Giguelay_2022_Theranostics	20.2940380637655	0.145536076584985	0.00355830948348433
target_mean	common	CLDN4	Liu_2024_Cancer_Res	25.0430858377303	0.128895689648512	0.000976637767817195
target_mean	common	CLDN4	Sathe_2023_Clin_Cancer_Res	16.6612454478807	0.165252303919615	0.00652666192093477
target_mean	common	CLDN4	Wang_2023_Sci_Adv	16.8501307342818	0.124130056819088	0.00634077955872721
target_mean	common	CLDN5	Giguelay_2022_Theranostics	2.36973621857142	-0.044790419026807	0.00137360782510985
target_mean	common	CLDN5	Liu_2024_Cancer_Res	78.8041317712855	-0.00603947702778774	4.13060602294716e-05
target_mean	common	CLDN5	Wang_2023_Sci_Adv	18.8261320101431	-0.00373887303560339	0.000172902655283739
target_mean	common	CLDN6	Che_2021_Cell_Discov	4.76966235209087	0.00289015856568913	0.000630930358952089
target_mean	common	CLDN6	Giguelay_2022_Theranostics	8.68216889100001	0.0043627196319264	0.000333442746989977
target_mean	common	CLDN6	Liu_2024_Cancer_Res	33.4051806587361	0.00405641706756811	6.50387394767255e-05
target_mean	common	CLDN6	Wang_2023_Sci_Adv	53.142988098173	0.0179947728755452	3.00306195735689e-05
target_mean	common	CLDN7	Che_2021_Cell_Discov	13.5857105936198	0.206422000789198	0.00416915666683091
