study	scoring	model	gene	n_patients	estimate	variance	low	high	p_signflip	n_positive
Liu_2024_Cancer_Res	target_mean	common	CRB3	12	0.05222185937036977	0.00032364163048808763	0.016645399418183267	0.0837535448868551	0.017578125	11.0
Liu_2024_Cancer_Res	target_mean	common	F11R	12	0.15435811102160674	0.0005719979740265339	0.11070673313692853	0.19923890613497763	0.00048828125	12.0
Liu_2024_Cancer_Res	target_mean	common	PALS1	12	0.0225838288379037	0.00013998693730266437	0.002545694554490504	0.04634146046027712	0.08154296875	6.0
Liu_2024_Cancer_Res	target_mean	common	PARD3	12	0.043956701057909574	0.0003001473958397208	0.012278087428916088	0.07633914423956986	0.02734375	9.0
Liu_2024_Cancer_Res	target_mean	common	PARD6A	12	-0.03387711073200965	0.00013700113821583446	-0.05395812292891642	-0.010165327580276773	0.01904296875	2.0
Liu_2024_Cancer_Res	target_mean	common	PARD6B	12	0.09945712358239056	0.00041370544677361284	0.06234853609935724	0.13730142960139313	0.0009765625	11.0
Liu_2024_Cancer_Res	target_mean	common	PARD6G	11	-0.023525796718541634	2.2147712645600036e-05	-0.03256206343934462	-0.01482881746043161	0.001953125	1.0
Liu_2024_Cancer_Res	target_mean	common	PATJ	12	0.06316673701731058	0.0002187938263094687	0.03551876379395273	0.09081949278965253	0.00146484375	11.0
Liu_2024_Cancer_Res	target_mean	common	PRKCI	12	0.06035487730627733	0.0006718357091222674	0.020455596764064932	0.11403576792922863	0.00537109375	11.0
Ogden_2025	fixed_background	common	CLDN1	14	0.07914440335331134	0.00032974240964755606	0.04612090497285471	0.11447754359549081	0.0003662109375	13.0
Ogden_2025	fixed_background	common	CLDN10	14	0.02551669059781711	0.00014750020189671498	0.0030816046804854175	0.049579307360685894	0.0462646484375	12.0
Ogden_2025	fixed_background	common	CLDN11	12	-0.00806756824245789	6.202027889161094e-05	-0.023251861673565133	0.005479278999772575	0.3310546875	5.0
Ogden_2025	fixed_background	common	CLDN12	14	0.04613724320656919	0.00015658094221932074	0.023342431360255413	0.07006174035540079	0.002685546875	11.0
Ogden_2025	fixed_background	common	CLDN14	13	-0.010642482129515006	0.00011240608674759075	-0.03204178780418257	0.008020017228808447	0.34130859375	7.0
Ogden_2025	fixed_background	common	CLDN15	14	0.0008864729747523153	0.00017604136513738242	-0.025414482682986704	0.025104459140790385	0.9473876953125	8.0
Ogden_2025	fixed_background	common	CLDN16	14	0.016492828623364077	0.0001820308786242134	-0.00796426213055846	0.042656095696241104	0.2608642578125	10.0
Ogden_2025	fixed_background	common	CLDN17	0	NA	NA	NA	NA	NA	NA
Ogden_2025	fixed_background	common	CLDN18	9	0.032378872347815744	0.00018565380994474748	0.006181874003526121	0.05618603009945004	0.05078125	8.0
