study	patient	gene	n_cells	detection_fraction	mean_log_expression
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN3	251	0.5577689243027888	1.2569222450256348
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN4	251	0.4302788844621514	1.0924652814865112
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN5	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN6	251	0.00796812749003984	0.015193558298051357
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN7	251	0.4103585657370518	0.5554268956184387
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN8	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CLDN9	251	0.035856573705179286	0.0216319989413023
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	CRB3	251	0.11553784860557768	0.07586966454982758
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	F11R	251	0.09163346613545817	0.054097313433885574
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	PALS1	251	0.14342629482071714	0.08299580961465836
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	PARD3	251	0.24701195219123506	0.2724166214466095
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	PARD6A	251	0.0199203187250996	0.019499337300658226
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	PARD6B	251	0.20717131474103587	0.21706995368003845
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	PARD6G	251	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	PATJ	251	0.18725099601593626	0.16675971448421478
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL16	PRKCI	251	0.17928286852589642	0.142233207821846
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN1	262	0.11450381679389313	0.06986064463853836
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN10	262	0.04961832061068702	0.09938885271549225
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN11	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN12	262	0.14122137404580154	0.07475055009126663
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN14	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN15	262	0.24427480916030533	0.14349482953548431
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN16	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN17	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN18	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN19	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN2	262	0.007633587786259542	0.012456902302801609
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN20	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN22	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN23	262	0.08778625954198473	0.04567653313279152
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN3	262	0.8587786259541985	2.3086981773376465
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN4	262	0.816793893129771	2.660079002380371
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN5	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN6	262	0.08396946564885496	0.05459418520331383
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN7	262	0.6526717557251909	0.8984662890434265
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN8	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CLDN9	262	0.05725190839694656	0.04146995022892952
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	CRB3	262	0.3931297709923664	0.31645166873931885
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	F11R	262	0.3969465648854962	0.31231215596199036
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	PALS1	262	0.37404580152671757	0.2655373811721802
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	PARD3	262	0.683206106870229	1.0073013305664062
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	PARD6A	262	0.04198473282442748	0.016456661745905876
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	PARD6B	262	0.5725190839694656	0.5763445496559143
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	PARD6G	262	0.0	0.0
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	PATJ	262	0.6984732824427481	0.8172643780708313
Che_2021_Cell_Discov	Che_2021_Cell_Discov.COL18	PRKCI	262	0.2824427480916031	0.1870514154434204
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN1	806	0.36600496277915634	0.2372213900089264
Giguelay_2022_Theranostics	Giguelay_2022_Theranostics.P1	CLDN10	806	0.0012406947890818859	0.0003661440568976104
