cell_id	Sample	Growth pattern	Tumor	Tumor front	Region	Clusters	x	y	display_hgp	display_class	is_tumour	display_class_new
33977	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	7470.1055	7298.579	dHGP	Non-tumour context	FALSE	Other tissue
33978	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	7638.3335	7176.7144	dHGP	Non-tumour context	FALSE	Other tissue
33979	ENC-P02-S03	EHGP	False	False	Stroma	CAF3	6546.1333	8243.866	dHGP	Non-tumour context	FALSE	Other tissue
33980	ENC-P02-S03	EHGP	False	False	Stroma	aHSC1	5875.469	8846.775	dHGP	Non-tumour context	FALSE	Other tissue
33981	ENC-P02-S03	EHGP	False	False	Stroma	NC2	7284.6	7544.4	dHGP	Non-tumour context	FALSE	Other tissue
33982	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	10639.223	4165.3335	dHGP	Non-tumour context	FALSE	Other tissue
33984	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	6983.6	7840.2	dHGP	Non-tumour context	FALSE	Other tissue
33985	ENC-P02-S03	EHGP	True	False	Tumor	MΦ	220.92453	5935.4526	dHGP	Tumour-region context	TRUE	Other tissue
33987	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	6665.5	8155.5625	dHGP	Non-tumour context	FALSE	Other tissue
33989	ENC-P02-S03	EHGP	False	False	Stroma	CAF2	10831.5	3986.875	dHGP	Non-tumour context	FALSE	Other tissue
33990	ENC-P02-S03	EHGP	False	False	Liver	MΦ	5271.2104	9602.421	dHGP	Non-tumour context	FALSE	Other tissue
33992	ENC-P02-S03	EHGP	False	False	Stroma	CAFγ	8961.967	5886.2334	dHGP	Non-tumour context	FALSE	Other tissue
33993	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9544.782	5293.0435	dHGP	Non-tumour context	FALSE	Other tissue
33994	ENC-P02-S03	EHGP	False	False	Stroma	aHSC1	5857.3516	9001.514	dHGP	Non-tumour context	FALSE	Other tissue
33995	ENC-P02-S03	EHGP	False	False	Stroma	MΦ	9848.115	5056.4614	dHGP	Non-tumour context	FALSE	Other tissue
33998	ENC-P02-S03	EHGP	False	False	Stroma	NC2	9528.667	5379.222	dHGP	Non-tumour context	FALSE	Other tissue
