pair_id	regulon_id	candidate_class	side	program_id	gene_role	gene	mean_expression	detected_epithelial_cells	expression_bin
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	BMX	0.036916120965126295	374	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	BZW2	1.1578253128220437	7986	24
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	C11ORF52	0.027674102092177907	408	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	C16ORF72	0.16790389163525835	2189	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	C17ORF99	0.008034569872811394	116	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	C1ORF43	0.4807894815994439	4767	22
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	C1RL	0.2988947918029495	3596	20
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	C7ORF57	0.009919304259899097	137	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CA13	0.404749349419588	3989	21
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CABP1	0.018624897039363278	265	13
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CADM4	0.028733210330885463	428	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CALD1	0.1128793708521013	1878	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CAMKMT	3.06044822168781	11595	24
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CAMSAP2	0.7906739219182651	6478	23
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CARS-AS1	0.014697706001644396	231	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CASKIN2	0.03887103767634497	585	15
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CBR1	0.14466248674472823	1802	18
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CCDC117	0.07534830949167824	1049	16
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CCDC15	0.09284976416289745	1156	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CCDC195	0.031130530723395625	416	14
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CCDC30	0.16234005814050173	1953	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CCDC74A	0.006920069806080887	114	11
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CCND2-AS1	0.17727812950597246	1631	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CDADC1	0.20707779701291165	2490	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CDC7	0.09593266236788775	1164	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CDHR3	0.68614524356601	5590	23
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CEACAM5	8.883825759220786	12581	24
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CEACAM7	0.1800071231444219	1515	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CEBPB	0.4104749636346577	3937	21
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CEBPB-AS1	0.010570015136734955	163	12
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CECR2	0.1632811361968949	1506	19
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CEP120	0.25779016880839	3000	20
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CEP350	1.2044589222333846	8674	24
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CEP41	0.11320838290290254	1491	17
ap1_combined__tight_junction	AP1_COMBINED	primary_AP1	a	AP1_COMBINED	control	CEP70	0.27975001838855207	2863	20
