section	claim	source	filters	column	method	scale	transform	reported	rounding_atol
Results 5	Regional CLDN5 source_adjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN5', 'model': 'source_adjusted'}	logFC	one	1	identity	0.454	0.000500000001
Results 5	Regional CRB3 unadjusted	panel:Figure_5_D.tsv	{'gene': 'CRB3', 'model': 'unadjusted'}	logFC	one	1	identity	0.496	0.000500000001
Results 5	Regional CRB3 source_adjusted	panel:Figure_5_D.tsv	{'gene': 'CRB3', 'model': 'source_adjusted'}	logFC	one	1	identity	0.188	0.000500000001
Results 5	Regional CLDN2 unadjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN2', 'model': 'unadjusted'}	logFC	one	1	identity	0.829	0.000500000001
Results 5	Regional CLDN2 source_adjusted	panel:Figure_5_D.tsv	{'gene': 'CLDN2', 'model': 'source_adjusted'}	logFC	one	1	identity	1.147	0.000500000001
Results 5	HRC positive coefficients TMM	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'all_pairs', 'normalization': 'TMM', 'model': 'unadjusted', 'component': 'HRC'}	n_positive_logFC	one	1	identity	80	0.500000000001
Results 5	HRC unadjusted directional q TMM	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'all_pairs', 'normalization': 'TMM', 'model': 'unadjusted', 'component': 'HRC'}	q_direction	one	1	identity	0.000050	5.00001e-07
Results 5	HRC positive coefficients library_only	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'all_pairs', 'normalization': 'library_only', 'model': 'unadjusted', 'component': 'HRC'}	n_positive_logFC	one	1	identity	77	0.500000000001
Results 5	HRC unadjusted directional q library_only	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'all_pairs', 'normalization': 'library_only', 'model': 'unadjusted', 'component': 'HRC'}	q_direction	one	1	identity	0.000133	5.00001e-07
Results 5	HRC adjusted directional q	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'all_pairs', 'normalization': 'TMM', 'model': 'source_adjusted', 'component': 'HRC'}	q_direction	one	1	identity	0.332	0.000500000001
Results 5	Same-section adjusted HRC mixed q TMM	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'same_section', 'normalization': 'TMM', 'model': 'source_adjusted', 'component': 'HRC'}	q_mixed	one	1	identity	0.00248	5.000001000000001e-06
Results 5	Same-section adjusted Claudin mixed q TMM	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'same_section', 'normalization': 'TMM', 'model': 'source_adjusted', 'component': 'Claudin'}	q_mixed	one	1	identity	8.98e-05	5.0001e-08
Results 5	Same-section adjusted Junction mixed q TMM	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'same_section', 'normalization': 'TMM', 'model': 'source_adjusted', 'component': 'Junction'}	q_mixed	one	1	identity	0.000223	5.00001e-07
Results 5	Same-section adjusted HRC mixed q library_only	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'same_section', 'normalization': 'library_only', 'model': 'source_adjusted', 'component': 'HRC'}	q_mixed	one	1	identity	0.00204	5.000001000000001e-06
Results 5	Same-section adjusted Claudin mixed q library_only	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'same_section', 'normalization': 'library_only', 'model': 'source_adjusted', 'component': 'Claudin'}	q_mixed	one	1	identity	7.06e-05	5.0001e-08
Results 5	Same-section adjusted Junction mixed q library_only	result:analysis_results/rec_q2_integration_2026-09-19/regional/programme_tests.tsv	{'dataset': 'same_section', 'normalization': 'library_only', 'model': 'source_adjusted', 'component': 'Junction'}	q_mixed	one	1	identity	0.000198	5.00001e-07
Results 5	Adjusted VIF macro	panel:Supplementary_Figure_6_D.tsv	{'dataset': 'all_pairs', 'normalization': 'TMM', 'variable': 'macro'}	within_patient_VIF	one	1	identity	5.47	0.0050000000010000005
Results 5	Adjusted VIF Liver	panel:Supplementary_Figure_6_D.tsv	{'dataset': 'all_pairs', 'normalization': 'TMM', 'variable': 'Liver'}	within_patient_VIF	one	1	identity	10.49	0.0050000000010000005
