location	path	workspace_path	bytes	sha256	upstream_sha256	adaptation	source	consumers
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-23/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-23/filtered_feature_bc_matrix/features.tsv.gz	156435	0d55c046c3a56a32a3e21bcc711da803d7be0fee23facb2f042d9f4aa6ed97cd	0d55c046c3a56a32a3e21bcc711da803d7be0fee23facb2f042d9f4aa6ed97cd	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement;same_section_input
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-23/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-23/filtered_feature_bc_matrix/matrix.mtx.gz	258738632	13260ca84268ff53e2947f42537d5674b36f73754478e3e86ef75f8112e14f41	13260ca84268ff53e2947f42537d5674b36f73754478e3e86ef75f8112e14f41	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood;same_section_input
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-23/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-23/spatial/tissue_positions.csv	565943	04614b011f102cfbf52fd71aebbb548e2749229e6d29776002a960debabd7e9b	04614b011f102cfbf52fd71aebbb548e2749229e6d29776002a960debabd7e9b	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-24/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-24/filtered_feature_bc_matrix/barcodes.tsv.gz	45360	ae1c703c72960b2e61e8037acb60fc16bcfb47b603bf802d76820a65a37f423f	ae1c703c72960b2e61e8037acb60fc16bcfb47b603bf802d76820a65a37f423f	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-24/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-24/filtered_feature_bc_matrix/features.tsv.gz	156435	aff674095a5ed09012bc015b3ab601520794033f6870d220bf57ba40c86e22d9	aff674095a5ed09012bc015b3ab601520794033f6870d220bf57ba40c86e22d9	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-24/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-24/filtered_feature_bc_matrix/matrix.mtx.gz	206196438	0ca1f86417b06f1443cda26d8987a19fe962000b456cb840ad62a07bef2e000b	0ca1f86417b06f1443cda26d8987a19fe962000b456cb840ad62a07bef2e000b	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-24/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-24/spatial/tissue_positions.csv	561371	67cdb08abbf7375ffe65693d4a1f4162d0843282a2537fbacb3c18173082b042	67cdb08abbf7375ffe65693d4a1f4162d0843282a2537fbacb3c18173082b042	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-25/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-25/filtered_feature_bc_matrix/barcodes.tsv.gz	72216	8c7c62589f7a31a1ddf0b897ad7e64f70ea308f5409747b11724f114b5f113ab	8c7c62589f7a31a1ddf0b897ad7e64f70ea308f5409747b11724f114b5f113ab	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood;same_section_input
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-25/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-25/filtered_feature_bc_matrix/features.tsv.gz	156435	4806dae29540e6b35e62e64b11e541e7de7fa7f1a0b7ca57d27f7573cbb1806a	4806dae29540e6b35e62e64b11e541e7de7fa7f1a0b7ca57d27f7573cbb1806a	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement;same_section_input
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-25/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-25/filtered_feature_bc_matrix/matrix.mtx.gz	372004221	80a0bd89e9758fb9b1ea54969f43764780cfc054259d2f888147205b839d032a	80a0bd89e9758fb9b1ea54969f43764780cfc054259d2f888147205b839d032a	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood;same_section_input
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-25/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-25/spatial/tissue_positions.csv	564774	a5575db6f0b8d13d628300a4fe9f8640385d84e6d03e001574685a02b13e974d	a5575db6f0b8d13d628300a4fe9f8640385d84e6d03e001574685a02b13e974d	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-26/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-26/filtered_feature_bc_matrix/barcodes.tsv.gz	62835	4784397eebf3e2f588033ce690bb289970fba94b0cd43da0cce26eafd068588a	4784397eebf3e2f588033ce690bb289970fba94b0cd43da0cce26eafd068588a	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-26/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-26/filtered_feature_bc_matrix/features.tsv.gz	156435	602a2c85327a47a19369336254b67f652e9f833ddefb47bf042a94109c5e36ee	602a2c85327a47a19369336254b67f652e9f833ddefb47bf042a94109c5e36ee	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-26/filtered_feature_bc_matrix/matrix.mtx.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-26/filtered_feature_bc_matrix/matrix.mtx.gz	323123888	725b9d5a5240ed662224cad86de404e4b349a01a27e808ee25417cad8348d418	725b9d5a5240ed662224cad86de404e4b349a01a27e808ee25417cad8348d418	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-26/spatial/tissue_positions.csv	data_sources/Liu_2026_GSE294385/extracted/M-ST-26/spatial/tissue_positions.csv	564864	f7d08fdf6791cb7ddd4d2ecb961cf6132ee75296ed1f8abf1e6fc875fb153614	f7d08fdf6791cb7ddd4d2ecb961cf6132ee75296ed1f8abf1e6fc875fb153614	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-27/filtered_feature_bc_matrix/barcodes.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-27/filtered_feature_bc_matrix/barcodes.tsv.gz	65954	e249fe92d74a88560bb5f4d50a6147d9f53db636728fa448922cd25774af2774	e249fe92d74a88560bb5f4d50a6147d9f53db636728fa448922cd25774af2774	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;regional_counts;junction_neighbourhood
external	data_sources/Liu_2026_GSE294385/extracted/M-ST-27/filtered_feature_bc_matrix/features.tsv.gz	data_sources/Liu_2026_GSE294385/extracted/M-ST-27/filtered_feature_bc_matrix/features.tsv.gz	156435	d50978ea6042d55f1eae49a592d1d02acd1897682d7841e91c8778ff4da7b73a	d50978ea6042d55f1eae49a592d1d02acd1897682d7841e91c8778ff4da7b73a	none	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294385 ; extract sample matrix folders; author annotation: https://github.com/yliuup/CRC_micromets_ST	regional_projection;junction_context;junction_neighbourhood;junction_measurement
