table	order	sheet	reference	n_rows	kind	source	assembly
6	11	Experimental_context_effects	reference/workbooks/06/Experimental_context_effects.json	24	data	manuscript/rec_discovery_reinforced_2026-09-17/source_data/preserved_figure_inputs/Supplementary_Figure_9/figure_phase7_functional_context_source_data.tsv	workbook_sources.py
6	12	Added_source_index	reference/workbooks/06/Added_source_index.json	11	provenance		workbook_sources.py
7	0	Sources	reference/workbooks/07/Sources.json	5	data	analysis_results/rec_q2_integration_2026-09-19/external/source_registry.tsv	workbook_sources.py
7	1	Patient_eligibility	reference/workbooks/07/Patient_eligibility.json	61	data	analysis_results/rec_q2_integration_2026-09-19/external/patient_eligibility.tsv	workbook_sources.py
7	2	Gene_control_lock	reference/workbooks/07/Gene_control_lock.json	3118	data	analysis_results/rec_q2_integration_2026-09-19/external/common_gene_control_lock.tsv	workbook_sources.py
7	3	Patient_components	reference/workbooks/07/Patient_components.json	112	data	analysis_results/rec_q2_integration_2026-09-19/external/patient_component_effects.tsv	workbook_sources.py
7	4	Study_components	reference/workbooks/07/Study_components.json	42	data	analysis_results/rec_q2_integration_2026-09-19/external/study_component_effects.tsv	workbook_sources.py
7	5	Random_effects	reference/workbooks/07/Random_effects.json	66	data	analysis_results/rec_q2_integration_2026-09-19/external/random_effects_meta.tsv	workbook_sources.py
7	6	Study_omissions	reference/workbooks/07/Study_omissions.json	244	data	analysis_results/rec_q2_integration_2026-09-19/external/leave_one_study.tsv	workbook_sources.py
7	7	Meta_weights	reference/workbooks/07/Meta_weights.json	252	data	analysis_results/rec_q2_integration_2026-09-19/external/meta_weights.tsv	workbook_sources.py
7	8	Patient_members	reference/workbooks/07/Patient_members.json	3360	data	analysis_results/rec_q2_integration_2026-09-19/external/patient_member_correlations.tsv	workbook_sources.py
7	9	Study_members	reference/workbooks/07/Study_members.json	420	data	analysis_results/rec_q2_integration_2026-09-19/external/study_member_effects.tsv	workbook_sources.py
7	10	Patient_detection	reference/workbooks/07/Patient_detection.json	1260	data	analysis_results/rec_q2_integration_2026-09-19/external/patient_member_detection.tsv	workbook_sources.py
7	11	Design_checks	reference/workbooks/07/Design_checks.json	112	data	analysis_results/rec_q2_integration_2026-09-19/external/model_diagnostics.tsv	workbook_sources.py
7	12	Projection_checks	reference/workbooks/07/Projection_checks.json	42	data	analysis_results/rec_q2_integration_2026-09-19/external/independent_projection_checks.tsv	workbook_sources.py
7	13	Meta_numerical_checks	reference/workbooks/07/Meta_numerical_checks.json	302	data	analysis_results/rec_q2_integration_2026-09-19/external/meta_numerical_checks.tsv	workbook_sources.py
7	14	Fig3_A	reference/workbooks/07/Fig3_A.json	240	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Figure_3_A.tsv	workbook_sources.py
7	15	Fig3_B	reference/workbooks/07/Fig3_B.json	30	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Figure_3_B.tsv	workbook_sources.py
7	16	Fig3_C	reference/workbooks/07/Fig3_C.json	30	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Figure_3_C.tsv	workbook_sources.py
7	17	Fig3_D	reference/workbooks/07/Fig3_D.json	150	data	manuscript/rec_text_polish_2026-09-21/source_data/panels/Figure_3_D.tsv	workbook_sources.py
