patient	region	Claudin	Polarity	Junction	HRC	RSC	iCMS2	iCMS3	E2F	Hypoxia	Epithelial	Liver	iCMS	transform	filter	score
PAT10	micro_tumour	-0.32683461349712556	-0.11449661479351024	-0.27230287891329524	-0.8199672783793003	-0.41007664906935437	0.25729042055414353	-0.42221059017479495	0.8569707346787254	-0.3172390672674467	0.07575257719425937	0.008746566785912421	-0.6795010107289385	historical_fixed_count_prior	all_members	mean_gene_z
PAT8	micro_tumour	0.027735793443068858	0.12346838219930766	0.03458455254043272	-0.08746216779465071	0.15265564339159007	0.05191284042421643	-0.024347215609300542	0.532127128272125	0.016384881297257653	-0.1040935412706264	0.4795508323540351	-0.07626005603351697	historical_fixed_count_prior	all_members	mean_gene_z
PAT5	micro_tumour	0.32813525211842837	-0.6174810508868009	-0.11577363223712482	-0.3301744436811303	0.06862719062084734	-0.14055462578742697	-0.14584181166240126	-0.17440469724947588	-0.03359693113500645	0.5744884968293332	-0.02095640803919845	-0.005287185874974287	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT5	macro_tumour	0.3956559377101404	0.07701681156787406	0.32965318378321967	0.6310343308071439	0.20729480077571802	0.19350512988148688	-0.04638785721485269	-0.2417654584715874	0.22692750631785133	0.5122238959987153	0.13906478360059513	-0.23989298709633958	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT1	micro_tumour	0.21633960021018647	0.15797982111348466	0.12438125546339407	-0.16352406446402126	0.03200621087752944	-0.2502808632180491	-0.018111559178703083	-0.09383576299203723	0.04069322684935059	-0.3565176221407086	0.9981415731005674	0.23216930403934602	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT1	macro_tumour	-0.3000784980395427	-0.1483396062364354	-0.2585889021647923	0.17781497159317364	-0.006566635288738655	0.017864803697028014	-0.1634187794247179	0.0683712982194811	-0.16973232719884757	0.43391685829566606	-0.22133795982396356	-0.18128358312174592	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT3	micro_tumour	0.07185010239054136	0.8264492738050755	0.3286293519317693	-0.15620338417525298	-0.02674524358267964	0.2648507404704291	0.0358499666743849	0.4935076580782315	-0.022367273698123906	-0.7678982371596359	0.6842475342520341	-0.22900077379604422	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT3	macro_tumour	-0.13774346898794204	0.8944104339293247	0.23238872084320092	0.1315181516566619	-0.11076868130339607	0.38072736164941523	0.10081677123074739	0.060129789906932976	-0.24160771134737294	-0.4755012977207482	-0.08961017541871429	-0.27991059041866784	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT2	micro_tumour	0.14275747350593918	0.7231085988846757	0.3266190888250235	-0.5375342536159845	0.19942569118504938	0.07915044605981371	0.38159926342292133	0.4439691099338996	0.20714645248002125	-1.420923177584992	-0.4663925548554517	0.30244881736310764	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT2	macro_tumour	-0.958426116832318	0.4853413118791278	-0.4311735400498558	0.4541078033234614	0.036204844823563044	0.33506399302879825	-0.12395105053548301	0.3367378636684511	0.0750570580802145	0.44101480905102974	-1.7202640025886398	-0.45901504356428124	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT4	micro_tumour	0.5145143115302564	-0.46810086629712755	0.19236235355771028	-0.484251227977331	-0.28067394636267556	-0.07476101435328429	-0.13383536053364195	0.29774662701601307	-0.3329281901959356	0.22609632534692592	0.7744251379956145	-0.05907434618035766	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT4	macro_tumour	0.46085750639178974	-0.36056610427513536	0.2402073323210874	0.2983260928803445	-0.001907884943693365	-0.208175091493775	0.10685417098313973	-0.471876706024095	-0.09501470042943172	0.7942518620906056	-0.3187301073435095	0.31502926247691476	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT6	micro_tumour	0.38529890797932104	-0.027680665134878192	0.18256071302346555	-0.059912512311720165	0.30224101268439885	-0.8909898162642222	0.30102971960517866	-0.5178680381268028	0.26245648245011577	-0.648338203393115	0.7160921142690548	1.192019535869401	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT6	macro_tumour	-0.1725022514950645	0.11283252608026774	-0.0650826677722935	0.14096939948650797	-0.38336363847268534	0.04562621703498346	0.09366900682209103	0.11053165338308793	-0.25447566600051735	-0.2556553696374656	-1.963278465721122	0.048042789787107576	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT9	macro_tumour	-0.04498196027637843	0.3536055012975753	0.1141122851118122	0.38138564866406777	-0.13097311230085817	0.7934928021316924	-0.030580848509331827	0.373667621516469	-0.11708805735876109	-0.07543953197451225	-0.9743901751198378	-0.8240736506410242	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
PAT9	micro_tumour	0.20939756493368802	-0.7065298815469978	-0.15041204202935063	-0.8454122275173893	-0.22784039078730886	-0.49045551440666135	0.029852620424529883	-1.4924910932758064	0.26242466143803894	-1.3047448279015925	1.8797960448676088	0.5203081348311912	historical_fixed_count_prior	CPM_ge_1_in_half_profiles	mean_gene_z
