hops	restriction	score	component	n_genes	endpoint	n	effect	low	high	p	n_positive	loo_min	loo_max	q
7	all_tumour	mean_logCPM	HRC	87	near_minus_deep	6	-0.13942407158673106	-0.2739093886887898	-0.002769501542858451	0.1875	2.0	-0.19259035003214517	-0.08599110184975807	0.34375
7	all_tumour	mean_logCPM	HRC	87	HGP_near	6	0.13108729865879098	-0.5271281341564453	0.7448694004927514	0.7	NA	-0.09685750291057182	0.46019501506640914	0.8
7	all_tumour	mean_logCPM	HRC	87	HGP_localization	6	-0.167654945412262	-0.404858490038188	0.06954859921366403	0.4	NA	-0.2819682048320497	-0.07598625742289503	0.4
7	all_tumour	mean_gene_z	Claudin	21	near_minus_deep	6	0.1622025318912367	-0.1062208751691109	0.5099799450541473	0.5	3.0	0.0034558176717271348	0.23910254390304417	0.5
7	all_tumour	mean_gene_z	Claudin	21	HGP_near	6	0.011727988249560159	-0.2195202710778783	0.21289825946707527	0.9	NA	-0.06462483988652871	0.1342432364217673	0.9
7	all_tumour	mean_gene_z	Claudin	21	HGP_localization	6	-0.39856968774389784	-0.9722227170459933	0.16441951826358508	0.4	NA	-0.690462139709391	-0.10134532413109837	0.5333333333333333
7	all_tumour	mean_gene_z	Polarity	8	near_minus_deep	6	0.027880032985184516	-0.03490673653162856	0.08221915210522351	0.5	3.0	0.012122300980402515	0.05192297534261593	0.5
7	all_tumour	mean_gene_z	Polarity	8	HGP_near	6	-0.2149477809795681	-0.8554646208348377	0.4255690588757014	0.6	NA	-0.4709427140188153	0.06995329219324033	0.9
7	all_tumour	mean_gene_z	Polarity	8	HGP_localization	6	0.01071765449293819	-0.11485588454068797	0.11885581806395068	1.0	NA	-0.021653089190891026	0.07350442400975127	1.0
7	all_tumour	mean_gene_z	Junction	30	near_minus_deep	6	0.10738601026335577	-0.08892135260563482	0.34211792317728507	0.5	3.0	0.0017960423548528449	0.16207320762386832	0.5
7	all_tumour	mean_gene_z	Junction	30	HGP_near	6	-0.04615236316674089	-0.27501187387803666	0.12056935163720281	0.9	NA	-0.11940761115030508	0.07038845969273462	0.9
7	all_tumour	mean_gene_z	Junction	30	HGP_localization	6	-0.27328424287082703	-0.6464550842897222	0.13679386536714916	0.4	NA	-0.4783232969898151	-0.0776303838172765	0.5333333333333333
7	all_tumour	mean_gene_z	HRC	87	near_minus_deep	6	-0.17720556494909512	-0.32850761287763913	-0.03574555336974777	0.125	2.0	-0.2245679188602494	-0.11816339148745243	0.5
7	all_tumour	mean_gene_z	HRC	87	HGP_near	6	0.07554655420271134	-0.7254496990705989	0.7050190765291442	0.8	NA	-0.135235247347679	0.4760446808393664	0.9
7	all_tumour	mean_gene_z	HRC	87	HGP_localization	6	-0.16506948498057994	-0.41117766937349565	0.09963729373443135	0.4	NA	-0.2974228743380856	-0.058731422571618216	0.5333333333333333
7	all_tumour	mean_logCPM	Claudin	21	HGP_tumour	6	-0.06148989370763025	-0.610886573014086	0.48807619596252905	1.0	NA	-0.3362729385427099	0.21320844594559785	1.0
7	all_tumour	mean_logCPM	Polarity	8	HGP_tumour	6	-0.10148132602973181	-0.514060664466709	0.31109801240724444	0.7	NA	-0.2832869408213181	0.08016805298665108	1.0
7	all_tumour	mean_logCPM	Junction	30	HGP_tumour	6	-0.06769448304869652	-0.3381766683747114	0.19439470543161486	0.8	NA	-0.20150716252786927	0.07989859703846847	1.0
7	all_tumour	mean_logCPM	HRC	87	HGP_tumour	6	0.1917987098977374	-0.4538519619345651	0.837449381730039	0.6	NA	-0.05159993627207271	0.5049252903579449	1.0
7	all_tumour	mean_gene_z	Claudin	21	HGP_tumour	6	0.00032615071862414824	-0.25155369843378156	0.23906794706793755	1.0	NA	-0.08306259853945608	0.11794305124254437	1.0
7	all_tumour	mean_gene_z	Polarity	8	HGP_tumour	6	-0.2528147594481643	-0.8673997887447751	0.36177026984844635	0.5	NA	-0.4982688750840504	0.002676509804185212	0.9333333333333332
7	all_tumour	mean_gene_z	Junction	30	HGP_tumour	6	-0.060955410038275704	-0.20666943099573434	0.08475861091918296	0.7	NA	-0.12828249482896695	0.0069450227733681875	0.9333333333333332
7	all_tumour	mean_gene_z	HRC	87	HGP_tumour	6	0.15483314339708595	-0.612151461814683	0.8334941361835908	0.7	NA	-0.08857594133080009	0.5383254460029705	0.9333333333333332
