dataset	component	gene	source_gene	measured_variable
GSE151165	iCMS2	C8ORF59	C8ORF59	True
GSE151165	iCMS2	CA4	CA4	True
GSE151165	iCMS2	CAPZA2	CAPZA2	True
GSE151165	iCMS2	CARS2	CARS2	True
GSE151165	iCMS2	CCDC34	CCDC34	True
GSE151165	iCMS2	CCDC85B	CCDC85B	True
GSE151165	iCMS2	CCL20	CCL20	True
GSE151165	iCMS2	CCT6A	CCT6A	True
GSE151165	iCMS2	CDC16	CDC16	True
GSE151165	iCMS2	CDC25B	CDC25B	True
GSE151165	iCMS2	CDHR1	CDHR1	True
GSE151165	iCMS2	CDK4	CDK4	True
GSE151165	iCMS2	CDK5RAP1	CDK5RAP1	True
GSE151165	iCMS2	CDK8	CDK8	True
GSE151165	iCMS2	CDX2	CDX2	True
GSE151165	iCMS2	CEBPA	CEBPA	True
GSE151165	iCMS2	CEBPB	CEBPB	True
GSE151165	iCMS2	CFTR	CFTR	True
GSE151165	iCMS2	CHCHD7	CHCHD7	True
GSE151165	iCMS2	CHD6	CHD6	True
GSE151165	iCMS2	CHMP4C	CHMP4C	True
GSE151165	iCMS2	CHP2	CHP2	True
GSE151165	iCMS2	CKB	CKB	True
GSE151165	iCMS2	COMMD6	COMMD6	True
GSE151165	iCMS2	COMMD7	COMMD7	True
GSE151165	iCMS2	COPS5	COPS5	True
GSE151165	iCMS2	COX19	COX19	True
GSE151165	iCMS2	CPNE1	CPNE1	True
GSE151165	iCMS2	CSE1L	CSE1L	True
GSE151165	iCMS2	CSNK2A2	CSNK2A2	True
GSE151165	iCMS2	CTNNBL1	CTNNBL1	True
GSE151165	iCMS2	CTSA	CTSA	True
GSE151165	iCMS2	CTSH	CTSH	True
GSE151165	iCMS2	CXCL14	CXCL14	True
GSE151165	iCMS2	CYB5B	CYB5B	True
GSE151165	iCMS2	CYP2S1	CYP2S1	True
GSE151165	iCMS2	CYP2W1	CYP2W1	True
GSE151165	iCMS2	DAB2	DAB2	True
GSE151165	iCMS2	DARS	DARS	True
GSE151165	iCMS2	DCAF13	DCAF13	True
GSE151165	iCMS2	DDAH2	DDAH2	True
GSE151165	iCMS2	DDC	DDC	True
GSE151165	iCMS2	DDX27	DDX27	True
GSE151165	iCMS2	DIDO1	DIDO1	True
GSE151165	iCMS2	DKC1	DKC1	True
GSE151165	iCMS2	DNAJC15	DNAJC15	True
GSE151165	iCMS2	DNAJC5	DNAJC5	True
GSE151165	iCMS2	DNTTIP1	DNTTIP1	True
GSE151165	iCMS2	DPEP1	DPEP1	True
GSE151165	iCMS2	DPM1	DPM1	True
GSE151165	iCMS2	DYNLRB1	DYNLRB1	True
GSE151165	iCMS2	EDEM2	EDEM2	True
GSE151165	iCMS2	EDN1	EDN1	True
GSE151165	iCMS2	EEPD1	EEPD1	True
GSE151165	iCMS2	EIF2S2	EIF2S2	True
GSE151165	iCMS2	EIF3E	EIF3E	True
GSE151165	iCMS2	EIF3H	EIF3H	True
GSE151165	iCMS2	EIF6	EIF6	True
GSE151165	iCMS2	EMD	EMD	True
GSE151165	iCMS2	EPB41L1	EPB41L1	True
GSE151165	iCMS2	EPB41L5	EPB41L5	True
GSE151165	iCMS2	EREG	EREG	True
GSE151165	iCMS2	ERGIC3	ERGIC3	True
GSE151165	iCMS2	ESF1	ESF1	True
GSE151165	iCMS2	ESPN	ESPN	True
GSE151165	iCMS2	EXOSC5	EXOSC5	True
GSE151165	iCMS2	FABP1	FABP1	True
GSE151165	iCMS2	FARP1	FARP1	True
GSE151165	iCMS2	FBL	FBL	True
GSE151165	iCMS2	FCGRT	FCGRT	True
GSE151165	iCMS2	FERMT1	FERMT1	True
GSE151165	iCMS2	FGGY	FGGY	True
GSE151165	iCMS2	FMR1	FMR1	True
GSE151165	iCMS2	FN1	FN1	True
GSE151165	iCMS2	FNTA	FNTA	True
GSE151165	iCMS2	FTL	FTL	True
GSE151165	iCMS2	FTX		False
GSE151165	iCMS2	FUNDC2	FUNDC2	True
GSE151165	iCMS2	GABRE	GABRE	True
GSE151165	iCMS2	GAL	GAL	True
GSE151165	iCMS2	GGH	GGH	True
GSE151165	iCMS2	GID8		False
GSE151165	iCMS2	GJB1	GJB1	True
GSE151165	iCMS2	GLA	GLA	True
GSE151165	iCMS2	GNPDA1	GNPDA1	True
GSE151165	iCMS2	GOLGA7	GOLGA7	True
GSE151165	iCMS2	GPALPP1		False
GSE151165	iCMS2	GPCPD1	GPCPD1	True
